unemployed buildings birthdeath cars households social_insurance benefits
Borsigplatz 1.08304093567251 0.629239766081871 0.0491228070175439 1.77426900584795 855 2.1625730994152 1.23157894736842
Westfalenhutte 1.08125 0.708333333333333 0.0854166666666667 1.5875 480 1.92916666666667 1.31458333333333
Kaiserbrunnen 0.911858974358974 1.26282051282051 -0.00480769230769231 4.55608974358974 624 4.26602564102564 0.626602564102564
Funkenburg 1.31511839708561 1.0655737704918 -0.0655737704918033 3.81785063752277 549 3.81420765027322 1.29143897996357
Korne 0.777920410783055 1.15147625160462 -0.0706033376123235 4.72400513478819 779 3.98331193838254 0.44801026957638
Westfalendamm-Nord 0.560810810810811 1.78040540540541 -0.219594594594595 8.83783783783784 296 3.57094594594595 0.273648648648649
Gartenstadt-Nord 0.474412171507607 1.44674965421853 -0.0677731673582296 4.14384508990318 723 2.68188105117566 0.406639004149378
Westfalendamm-Sud 0.54983922829582 1.70739549839228 -0.0771704180064309 6.7620578778135 311 4.05466237942122 0.254019292604502
Gartenstadt-Sud 0.252808988764045 3.12921348314607 -0.0393258426966292 7.1123595505618 178 3.1123595505618 0.0280898876404494
Ruhrallee-West 0.734732824427481 1.24618320610687 -0.00954198473282443 5.74809160305344 524 5.16793893129771 0.435114503816794
Ruhrallee-Ost 0.804878048780488 1.61280487804878 -0.0792682926829268 7.74390243902439 328 4.95426829268293 0.341463414634146
Brechten-Nord 0.358523725834798 1.82425307557118 -0.0070298769771529 4.28998242530756 569 2.95782073813708 0.121265377855888
Brechten-Sud 0.403183023872679 1.60212201591512 -0.013262599469496 4.19893899204244 377 3.17241379310345 0.236074270557029
Niedereving 0.739659367396594 1.08029197080292 0.0024330900243309 2.50851581508516 411 2.2287104622871 0.605839416058394
Eving 0.699052132701422 1.12559241706161 -0.0876777251184834 2.98815165876777 422 2.56872037914692 0.516587677725118
Obereving 0.642965204236006 1.21406959152799 0.00983358547655068 2.64901664145235 1322 2.27912254160363 0.602118003025719
Kemminghausen 0.684684684684685 1.43243243243243 -0.00900900900900901 2.62162162162162 222 2.37837837837838 0.824324324324324
Holthausen 0.25 2.19230769230769 0.0576923076923077 4.75 52 2.63461538461538 0.0192307692307692
Lindenhorst 0.673850574712644 1.32614942528736 0.0186781609195402 2.8117816091954 696 2.18534482758621 0.584770114942529
Altenderne 0.451327433628319 1.90265486725664 -0.0530973451327434 4.1858407079646 113 2.75221238938053 0.230088495575221
Derne 0.516616314199396 1.28851963746224 -0.0891238670694864 2.59063444108761 662 2.19788519637462 0.379154078549849
Grevel 0.323076923076923 2 0 4.98461538461538 65 3.66153846153846 0
Hostedde 0.660377358490566 1.86163522012579 0.00628930817610063 4.52830188679245 159 3.21383647798742 0.289308176100629
Franz-Zimmer-Siedlung 0.339805825242718 1.55663430420712 -0.0420711974110032 3.47249190938511 309 2.02912621359223 0.3042071197411
Kirchderne 0.72 2.08 -0.048 4.552 125 3.088 0.328
Kurl-Nord 0.378640776699029 2.43689320388349 -0.00970873786407767 4.18446601941748 103 2.8252427184466 0.058252427184466
Kurl-Sud 0.409090909090909 1.62424242424242 -0.096969696969697 3.73939393939394 330 2.61515151515152 0.381818181818182
Husen-Nord 0.460526315789474 1.36842105263158 -0.0131578947368421 2.57894736842105 76 2.48684210526316 0.368421052631579
Husen-Sud 0.274752475247525 1.59405940594059 -0.0247524752475248 3.12376237623762 404 2.04950495049505 0.141089108910891
Lanstrop-Neu 0.657836644591612 0.860927152317881 -0.0198675496688742 2.54746136865342 453 2.19205298013245 0.772626931567329
Lanstrop-Alt 0.284671532846715 2.05109489051095 -0.0510948905109489 4.55474452554745 137 2.99270072992701 0.109489051094891
MSA-Siedlung 0.543165467625899 3.7841726618705 -0.0719424460431655 4.79856115107914 278 3.20503597122302 0.366906474820144
Alt-Scharnhorst 0.578616352201258 1.09014675052411 0.0146750524109015 2.48008385744235 477 2.0482180293501 0.553459119496855
Westholz 0.467948717948718 2.32051282051282 -0.0512820512820513 4.50641025641026 156 3.45512820512821 0.185897435897436
Scharnhorst-Ost 0.696659482758621 0.324353448275862 0.00377155172413793 1.99784482758621 1856 2.01185344827586 0.987068965517241
Asselburg 0.425149700598802 1.46107784431138 -0.0389221556886228 3.67065868263473 334 3.04790419161677 0.227544910179641
Asseln-Dorf 0.619402985074627 1.62686567164179 0.0149253731343284 3.99253731343284 134 3.45522388059702 0.32089552238806
Asseln-Hellweg 0.45045045045045 2.08108108108108 0 4.69369369369369 111 3.8018018018018 0.243243243243243
Kolonie-Holstein 0.317307692307692 2.06410256410256 0.0224358974358974 3.74358974358974 312 2.95512820512821 0.0897435897435897
Kolonie-Neuasseln 0.5 2.175 0.0625 5.15 80 3.625 0.2625
Brackeler-Feld 0.323076923076923 1.55692307692308 0 4.24923076923077 325 2.77230769230769 0.153846153846154
Westheck 0.538647342995169 1.99033816425121 -0.214975845410628 5.02415458937198 414 3.34299516908213 0.364734299516908
Reichshof 0.520884520884521 1.16953316953317 -0.0491400491400491 3.47420147420147 407 2.87960687960688 0.501228501228501
Brackel-Dorf 0.406153846153846 1.71692307692308 -0.0430769230769231 4.17846153846154 325 3.20923076923077 0.190769230769231
Brackel-Hellweg 0.526315789473684 2.51578947368421 -0.0210526315789474 4.58947368421053 95 3.35789473684211 0.442105263157895
Knappschaftskrankenhaus 0.512437810945274 2.29353233830846 -0.0597014925373134 4.33830845771144 201 3.42786069651741 0.263681592039801
Hauptfriedhof 0.535294117647059 2.32941176470588 -0.0823529411764706 4.50588235294118 170 2.90588235294118 0.682352941176471
Funkturmsiedlung 0.689189189189189 1.42567567567568 -0.0337837837837838 3.94256756756757 296 2.73986486486486 0.60472972972973
Wambel-Dorf 0.663677130044843 1.94170403587444 -0.0134529147982063 6.52017937219731 223 3.63228699551569 0.394618834080717
Breierspfad 0.496240601503759 2.40601503759398 -0.075187969924812 4.66917293233083 266 3.42857142857143 0.229323308270677
Pferderennbahn 0.146179401993355 0.943521594684385 0.026578073089701 1.93687707641196 301 1.45182724252492 0.0564784053156146
Wickeder-Feld 0.522703273495248 0.875395987328406 0.00105596620908131 2.4234424498416 947 2.06124604012672 0.746568109820486
Wickede-Dorf 0.494407158836689 1.69351230425056 -0.0648769574944072 3.80984340044743 447 3.19910514541387 0.308724832214765
Dollersweg 0.508426966292135 1.70786516853933 -0.050561797752809 3.50842696629213 356 2.85674157303371 0.387640449438202
Flughafen 0.529780564263323 0.815047021943574 0.00626959247648903 4.12539184952978 319 2.26332288401254 0.479623824451411
Aplerbecker-Strasse 0.424778761061947 2.91150442477876 0.0132743362831858 6.79203539823009 226 3.0929203539823 0.154867256637168
Marsbruchstrasse 0.318367346938775 1.36326530612245 -0.112244897959184 2.72448979591837 490 2.15510204081633 0.446938775510204
Aplerbecker-Markt 0.537662337662338 1.12727272727273 0.038961038961039 3.81818181818182 385 2.48311688311688 0.74025974025974
Vieselerhofstrasse 0.379310344827586 1.95019157088123 0.00766283524904215 4.08429118773946 261 2.90421455938697 0.218390804597701
Aplerbeck-Bahnhof-Sud 0.456647398843931 2.03468208092486 -0.00578034682080925 4.65606936416185 346 3.2514450867052 0.265895953757225
Aplerbecker-Mark 0.260956175298805 2.21713147410359 0.00199203187250996 4.82669322709163 502 2.91633466135458 0.0358565737051793
Schwerter-Strasse 0.208333333333333 2.46527777777778 0.0486111111111111 5.25 144 2.97222222222222 0.229166666666667
Berghofen-Dorf 0.423547400611621 2.03669724770642 -0.0275229357798165 4.60244648318043 654 2.86544342507645 0.292048929663609
Ostkirchstrasse 0.43342776203966 1.86685552407932 -0.0424929178470255 3.96033994334278 353 2.76487252124646 0.172804532577904
Berghofer-Mark 0.314159292035398 2.38495575221239 -0.0353982300884956 5.42477876106195 226 3.36725663716814 0.0530973451327434
Schuren-Neu 0.374031007751938 0.765503875968992 -0.0213178294573643 3.20542635658915 516 2.02131782945736 0.445736434108527
Schuren-Alt 0.494432071269488 1.71492204899777 0.0178173719376392 4.16035634743875 449 3.06458797327394 0.287305122494432
Solde-Nord 0.548543689320388 1.91747572815534 -0.133495145631068 5.05339805825243 412 3.25728155339806 0.296116504854369
Solde-Sud 0.41747572815534 2.04368932038835 -0.0145631067961165 4.20873786407767 206 3.09708737864078 0.242718446601942
Solderholz 0.272946859903382 2.24154589371981 -0.0338164251207729 4.35748792270531 414 2.74396135265701 0.1256038647343
Lichtendorf 0.26056338028169 2.32746478873239 -0.0457746478873239 4.59154929577465 284 2.9612676056338 0.0387323943661972
Benninghofen 0.477272727272727 1.31404958677686 -0.161157024793388 3.7004132231405 484 2.55578512396694 0.570247933884298
Loh 0.278571428571429 2.32619047619048 0.0142857142857143 4.88095238095238 420 2.91190476190476 0.135714285714286
Schulzentrum-Hacheney 0.427184466019417 0.970873786407767 -0.0194174757281553 3.02912621359223 103 2.56310679611651 0.330097087378641
Pferdebachtal 0.457627118644068 4.05084745762712 -0.11864406779661 9.33898305084746 59 3.16949152542373 0.23728813559322
Remberg 0.920704845814978 1.76945668135095 -0.066079295154185 3.60205580029369 681 3.25697503671072 0.957415565345081
Horde 0.81042654028436 0.781990521327014 0.018957345971564 2.86018957345972 422 2.49526066350711 1.12322274881517
Phonix-West 1.16447368421053 1.19736842105263 -0.00986842105263158 3.78947368421053 304 3.31907894736842 1.35197368421053
Brucherhof 0.991434689507495 1.37259100642398 -0.0599571734475375 4.03211991434689 467 3.88222698072805 1.02355460385439
Clarenberg 0.923963133640553 0.290322580645161 0.0115207373271889 1.536866359447 434 1.79723502304147 2.02995391705069
Hochsten 0.277272727272727 2.66818181818182 -0.00909090909090909 5.86363636363636 220 3.34090909090909 0.0454545454545455
Holzen 0.315561959654179 2.14985590778098 -0.00864553314121038 4.64553314121037 694 2.57780979827089 0.188760806916427
Syburg 0.358974358974359 3.71794871794872 -0.0128205128205128 7.05128205128205 78 3.30769230769231 0.0769230769230769
Buchholz 0.288461538461538 3.23076923076923 0.0192307692307692 5.71153846153846 52 3.03846153846154 0.115384615384615
Wellinghofen 0.388746803069054 1.38618925831202 -0.0562659846547315 3.80818414322251 391 2.60869565217391 0.286445012787724
Durchstrasse 0.334448160535117 2.49163879598662 -0.0367892976588629 5.66555183946488 299 3.01003344481605 0.240802675585284
Wichlinghofen 0.319327731092437 2.56302521008403 0.0126050420168067 5.90336134453782 238 3.4453781512605 0.0672268907563025
Schonau 0.339285714285714 2.625 0.0267857142857143 4.73214285714286 112 3.11607142857143 0.0357142857142857
Ostenbergstrasse 0.354166666666667 2.20833333333333 0 4.95833333333333 48 3.70833333333333 0.1875
Kruckenweg 0.536231884057971 1.66086956521739 -0.0202898550724638 4.41159420289855 345 3.52173913043478 0.307246376811594
Baroper-Markt 0.551948051948052 1.37012987012987 -0.227272727272727 3.98051948051948 154 3.70779220779221 0.279220779220779
Zechenplatz 0.925925925925926 2.07407407407407 0.0740740740740741 7.77777777777778 27 3.92592592592593 0.481481481481481
Barop 0.2625 2.5 -0.0333333333333333 5.58333333333333 240 3.0875 0.0416666666666667
Brunninghausen 0.264367816091954 2.81609195402299 -0.0804597701149425 5.70114942528736 87 2.77011494252874 0.0689655172413793
Renninghausen 0.411320754716981 1.87169811320755 -0.233962264150943 4.90943396226415 265 2.61132075471698 0.222641509433962
Eichlinghofen 0.380952380952381 1.8671679197995 -0.0776942355889724 4.09022556390977 399 3.18546365914787 0.213032581453634
Universitat 0.29811320754717 1.10943396226415 0.0528301886792453 6.34339622641509 265 4.27924528301887 0.0867924528301887
Salingen 0.266666666666667 2.13333333333333 0.133333333333333 5.13333333333333 15 2.93333333333333 0.0666666666666667
Hombruch 0.74368932038835 1.34757281553398 -0.0252427184466019 3.80582524271845 515 3.65825242718447 0.559223300970874
Deutsch-Luxemburger-Strasse 0.557809330628803 1.93914807302231 -0.0344827586206897 4.3184584178499 493 3.29817444219067 0.324543610547667
Siedlung-Rotkehlchenweg 0.452380952380952 1.57142857142857 -0.107142857142857 4.96428571428571 84 2.86904761904762 0.202380952380952
Persebeck 0.412037037037037 2.12962962962963 -0.0694444444444444 4.44907407407407 216 3.01851851851852 0.12962962962963
Kruckel 0.28735632183908 2.05747126436782 0.0229885057471264 5.1264367816092 87 2.72413793103448 0.0574712643678161
Schnee 0.270588235294118 1.96470588235294 0.0470588235294118 4.04705882352941 85 2.43529411764706 0.0705882352941176
Grossholthausen 0.619047619047619 3.23809523809524 0 6 21 3.71428571428571 0.0952380952380952
Kirchhorde-Nord 0.430555555555556 1 0.0277777777777778 2.77777777777778 216 1.85648148148148 0.458333333333333
Kleinholthausen 0.265625 3.109375 -0.5625 6.859375 64 3.90625 0.078125
Kirchhorde-Ost 0.283261802575107 2.56652360515021 0.0128755364806867 5.81974248927039 233 3.11158798283262 0.0729613733905579
Kirchhorde-West 0.297169811320755 2.20754716981132 0.0283018867924528 5.67924528301887 212 2.98584905660377 0.0943396226415094
Lottringhausen-Nord 0.426356589147287 1.23255813953488 0.0465116279069767 3.4031007751938 129 2.47286821705426 0.410852713178295
Lottringhausen-Sud 0.447058823529412 2.10588235294118 -0.0470588235294118 5 85 3.09411764705882 0.0941176470588235
Schanze 0.264705882352941 2.23529411764706 0.0588235294117647 5.73529411764706 34 3.35294117647059 0
Rombergpark 0.25 4.5 -33.5 17.25 4 6.25 1.5
Lucklemberg 0.217777777777778 2.56666666666667 -0.0577777777777778 5.7 450 2.61111111111111 0.0688888888888889
Menglinghausen 0.485714285714286 1.17142857142857 -0.00714285714285714 3.79285714285714 280 2.32142857142857 0.725
Bovinghausen 0.676557863501484 1.05341246290801 0.0118694362017804 2.86053412462908 674 2.41988130563798 0.876854599406528
Kley 0.387654320987654 1.29135802469136 -0.0123456790123457 3.61234567901235 405 2.68888888888889 0.274074074074074
Holte-Kreta 0.79646017699115 2.15044247787611 -0.0442477876106195 4.38053097345133 113 3.6283185840708 0.380530973451327
Deipenbeck 0.427826086956522 1.37565217391304 -0.0782608695652174 3.84 575 3.02782608695652 0.379130434782609
Lutgendortmund-Mitte 0.511278195488722 1.00375939849624 -0.104010025062657 3.11904761904762 798 2.75438596491228 0.442355889724311
Lutgendortmund-Ost 0.665853658536585 1.07560975609756 -0.0024390243902439 3.39512195121951 820 2.96219512195122 0.678048780487805
Lutgendortmund-West 1 1.15527950310559 -0.0186335403726708 4.47826086956522 161 3.27950310559006 1.39751552795031
Somborn 0.733333333333333 1.41666666666667 -0.05 4.16666666666667 60 3.45 0.55
Germania 0.771929824561403 1.24561403508772 -0.00219298245614035 2.95833333333333 456 2.48026315789474 0.756578947368421
Marten 0.666086956521739 1.31478260869565 -0.0104347826086957 3.46086956521739 575 2.96173913043478 0.688695652173913
Oespel 0.374220374220374 1.78586278586279 -0.0103950103950104 4.39085239085239 481 2.84407484407484 0.253638253638254
Westrich 0.356495468277946 1.44712990936556 -0.0332326283987915 3.45317220543807 331 2.70694864048338 0.274924471299094
Deusen 0.29020979020979 1.57342657342657 0.027972027972028 3.06993006993007 286 2.41958041958042 0.202797202797203
Mailoh 0.555555555555556 1.06280193236715 0.03743961352657 2.34782608695652 828 2.18478260869565 0.544685990338164
Erpinghofsiedlung 0.722408026755853 1.31103678929766 0.00668896321070234 2.33779264214047 299 2.29765886287625 0.732441471571906
Wischlingen 0.695035460992908 1.88652482269504 -0.0354609929078014 4.08510638297872 141 3.09929078014184 0.49645390070922
Huckarde 0.485632183908046 0.908045977011494 -0.10632183908046 2.89655172413793 348 2.39080459770115 0.425287356321839
Insterburgsiedlung 0.503667481662592 0.990220048899755 -0.00733496332518337 2.75550122249389 409 2.4278728606357 0.378973105134474
Jungferntal 0.50748502994012 1.02994011976048 -0.029940119760479 3.02395209580838 668 2.51347305389222 0.425149700598802
Rahm 0.508333333333333 1.5 -0.05 4.275 120 3.38333333333333 0.15
Kirchlinde-Alt 0.588972431077694 1.07017543859649 0.012531328320802 3.04511278195489 399 2.67418546365915 0.461152882205514
Siedlung-Siepmannstrasse 0.495192307692308 0.661057692307692 0.00480769230769231 2.46634615384615 416 2.20913461538462 0.53125
Hangeney 0.388990825688073 1.51559633027523 -0.0660550458715596 3.33761467889908 545 2.61284403669725 0.211009174311927
Bodelschwingh 0.542654028436019 1.06990521327014 -0.018957345971564 3.0936018957346 844 2.37559241706161 0.489336492890995
Bruninghausen/Knepper 0.620689655172414 2.20689655172414 0.0344827586206897 4.24137931034483 29 3.06896551724138 0.172413793103448
Mengeder-Heide 0.326409495548961 1.81008902077151 -0.029673590504451 4.37388724035608 337 2.82195845697329 0.106824925816024
Mengede-Mitte 0.630289532293987 1.22494432071269 -0.140311804008909 3.19153674832962 449 2.69487750556793 0.538975501113586
Alte-Kolonie 0.670886075949367 1.91645569620253 -0.020253164556962 2.32658227848101 395 2.4126582278481 0.564556962025316
Nette 0.610241820768137 1.37837837837838 -0.0213371266002845 3.18207681365576 703 2.58748221906117 0.738264580369844
Oestrich 0.560379918588874 1.13025780189959 -0.0352781546811398 3.08005427408412 737 2.49389416553596 0.530529172320217
Groppenbruch 0.176470588235294 1.35294117647059 0.0392156862745098 3.37254901960784 51 2.37254901960784 0.156862745098039
Schwieringhausen 0.473684210526316 2.10526315789474 0 3.73684210526316 19 2.78947368421053 0.157894736842105
Ellinghausen 0.230769230769231 1.23076923076923 -0.0384615384615385 2.80769230769231 26 2.57692307692308 0.0384615384615385
Niedernette 0.333333333333333 2.5 -0.333333333333333 7.5 6 3.5 0
Westerfilde 0.620901639344262 0.837090163934426 -0.0461065573770492 2.33504098360656 976 2.17110655737705 0.957991803278688
